response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0071,0.0050,0.0000,0.0000,0.0019,0.0002,429,59.5049
0.0080,0.0055,0.0000,0.0000,0.0018,0.0006,429,59.5048
0.0090,0.0049,0.0000,0.0002,0.0039,0.0001,429,59.5049
0.0079,0.0038,0.0000,0.0000,0.0040,0.0001,429,59.5060
0.0078,0.0034,0.0000,0.0001,0.0041,0.0001,429,59.5063
0.0072,0.0034,0.0000,0.0000,0.0037,0.0001,429,59.5069
0.0080,0.0035,0.0000,0.0000,0.0033,0.0010,429,59.5063
0.0075,0.0029,0.0000,0.0002,0.0043,0.0001,429,59.5068
0.0095,0.0035,0.0000,0.0019,0.0039,0.0001,429,59.5049
0.0101,0.0053,0.0000,0.0000,0.0045,0.0000,429,59.5044
0.0084,0.0022,0.0000,0.0019,0.0041,0.0001,429,59.5062
0.0081,0.0033,0.0000,0.0001,0.0023,0.0024,429,59.5065
0.0106,0.0051,0.0000,0.0001,0.0046,0.0007,429,59.5047
0.0094,0.0025,0.0000,0.0017,0.0046,0.0006,429,59.5057
0.0111,0.0032,0.0000,0.0016,0.0024,0.0039,429,59.5049
0.0100,0.0040,0.0000,0.0001,0.0051,0.0007,429,59.5063
0.0103,0.0033,0.0000,0.0000,0.0052,0.0017,429,59.5070
0.0122,0.0040,0.0000,0.0000,0.0050,0.0027,429,59.5059
0.0112,0.0012,0.0000,0.0017,0.0036,0.0047,429,59.5070
0.0111,0.0000,0.0000,0.0001,0.0024,0.0006,429,59.5070
0.0135,0.0031,0.0000,0.0018,0.0024,0.0061,429,59.5047
0.0119,0.0000,0.0000,0.0007,0.0045,0.0009,429,59.5063
0.0113,0.0033,0.0000,0.0000,0.0052,0.0026,429,59.5069
0.0136,0.0000,0.0000,0.0000,0.0025,0.0013,429,59.5046
0.0119,0.0013,0.0000,0.0014,0.0057,0.0027,429,59.5063
0.0135,0.0036,0.0000,0.0013,0.0058,0.0027,429,59.5048
0.0120,0.0021,0.0000,0.0007,0.0057,0.0027,429,59.5063
0.0112,0.0041,0.0000,0.0001,0.0027,0.0013,429,59.5070
0.0111,0.0000,0.0000,0.0006,0.0021,0.0005,429,59.5072
0.0121,0.0000,0.0000,0.0001,0.0018,0.0024,429,59.5062
0.0114,0.0033,0.0000,0.0000,0.0053,0.0027,429,59.5069
0.0113,0.0000,0.0000,0.0000,0.0011,0.0029,429,59.5072
0.0122,0.0015,0.0000,0.0012,0.0058,0.0036,429,59.5069
0.0147,0.0052,0.0000,0.0001,0.0056,0.0036,429,59.5045
0.0120,0.0000,0.0000,0.0007,0.0031,0.0000,429,59.5071
0.0120,0.0000,0.0000,0.0001,0.0027,0.0020,429,59.5072
0.0129,0.0026,0.0000,0.0001,0.0058,0.0036,429,59.5063
0.0145,0.0051,0.0000,0.0001,0.0056,0.0037,429,59.5048
0.0126,0.0051,0.0000,0.0008,0.0036,0.0031,429,59.5071
0.0129,0.0000,0.0000,0.0009,0.0035,0.0006,429,59.5072
0.0137,0.0000,0.0000,0.0011,0.0040,0.0005,429,59.5071
0.0146,0.0056,0.0000,0.0045,0.0043,0.0001,429,59.5061
0.0049,0.0000,0.0000,0.0005,0.0034,0.0006,429,59.5159
0.0140,0.0068,0.0000,0.0001,0.0071,0.0001,429,59.5072
0.0145,0.0050,0.0000,0.0045,0.0049,0.0001,429,59.5073
0.0097,0.0000,0.0000,0.0022,0.0039,0.0000,429,59.5120
0.0156,0.0070,0.0000,0.0044,0.0040,0.0000,429,59.5062
0.0152,0.0043,0.0000,0.0000,0.0075,0.0001,429,59.5067
0.0080,0.0000,0.0000,0.0017,0.0044,0.0001,429,59.5142
0.0083,0.0000,0.0000,0.0020,0.0045,0.0001,429,59.5139
0.0042,0.0000,0.0000,0.0000,0.0040,0.0000,429,59.5182
0.0043,0.0000,0.0000,0.0000,0.0042,0.0000,429,59.5182
0.0045,0.0000,0.0000,0.0000,0.0044,0.0001,429,59.5182
0.0157,0.0000,0.0000,0.0025,0.0046,0.0000,429,59.5071
0.0167,0.0000,0.0000,0.0053,0.0048,0.0001,429,59.5062
0.0085,0.0000,0.0000,0.0019,0.0050,0.0001,429,59.5146
0.0050,0.0000,0.0000,0.0000,0.0049,0.0001,429,59.5182
0.0050,0.0000,0.0000,0.0000,0.0041,0.0001,429,59.5183
0.0051,0.0000,0.0000,0.0004,0.0045,0.0000,429,59.5183
0.0055,0.0000,0.0000,0.0002,0.0041,0.0000,429,59.5180
0.0099,0.0000,0.0000,0.0018,0.0063,0.0000,429,59.5143
0.0061,0.0000,0.0000,0.0006,0.0053,0.0001,429,59.5182
0.0053,0.0000,0.0000,0.0001,0.0051,0.0000,429,59.5191
0.0065,0.0000,0.0000,0.0010,0.0054,0.0001,429,59.5183
0.0105,0.0000,0.0000,0.0015,0.0072,0.0001,429,59.5145
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,429,59.5182
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,429,59.5182
0.0091,0.0000,0.0000,0.0000,0.0075,0.0001,429,59.5166
0.0116,0.0000,0.0000,0.0021,0.0077,0.0000,429,59.5143
0.0123,0.0006,0.0000,0.0000,0.0116,0.0001,429,59.5139
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,429,59.5182
0.0194,0.0056,0.0000,0.0052,0.0085,0.0001,429,59.5071
0.0203,0.0000,0.0000,0.0057,0.0087,0.0000,429,59.5063
0.0005,0.0000,0.0000,0.0000,0.0004,0.0001,429,59.5262
0.0077,0.0000,0.0000,0.0006,0.0068,0.0001,429,59.5192
0.0005,0.0000,0.0000,0.0000,0.0003,0.0001,429,59.5265
0.0089,0.0000,0.0000,0.0001,0.0074,0.0001,429,59.5183
0.0082,0.0000,0.0000,0.0009,0.0069,0.0001,429,59.5191
0.0143,0.0000,0.0000,0.0008,0.0072,0.0000,429,59.5130
0.0078,0.0000,0.0000,0.0004,0.0068,0.0001,429,59.5197
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,429,59.5208
0.0085,0.0000,0.0000,0.0009,0.0073,0.0000,429,59.5192
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,429,59.5208
0.0136,0.0013,0.0000,0.0020,0.0101,0.0001,429,59.5143
0.0073,0.0000,0.0000,0.0000,0.0071,0.0001,429,59.5207
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,429,59.5212
0.0138,0.0013,0.0000,0.0005,0.0119,0.0001,429,59.5145
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,429,59.5217
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,429,59.5217
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,429,59.5218
0.0135,0.0007,0.0000,0.0017,0.0110,0.0001,429,59.5153
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,429,59.5219
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,429,59.5222
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,429,59.5223
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,429,59.5223
0.0103,0.0000,0.0000,0.0003,0.0098,0.0001,429,59.5194
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,429,59.5225
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,429,59.5226
0.0117,0.0000,0.0000,0.0003,0.0103,0.0001,429,59.5182
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,429,59.5228
0.0121,0.0000,0.0000,0.0000,0.0120,0.0000,429,59.5181
