response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0078,0.0000,0.0000,0.0000,0.0078,0.0000,400,58.9389
0.0105,0.0000,0.0000,0.0001,0.0098,0.0000,400,58.9363
0.0116,0.0000,0.0000,0.0019,0.0083,0.0000,400,58.9353
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,400,58.9406
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,400,58.9409
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,400,58.9411
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,400,58.9388
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,400,58.9411
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,400,58.9412
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,400,58.9413
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,400,58.9414
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,400,58.9416
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,400,58.9417
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,400,58.9417
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,400,58.9419
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,400,58.9420
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,400,58.9421
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,400,58.9422
0.0063,0.0000,0.0000,0.0000,0.0061,0.0001,400,58.9423
0.0066,0.0000,0.0000,0.0000,0.0060,0.0005,400,58.9424
0.0065,0.0000,0.0000,0.0000,0.0063,0.0001,400,58.9427
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,400,58.9426
0.0120,0.0000,0.0000,0.0012,0.0104,0.0000,400,58.9373
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,400,58.9431
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,400,58.9431
0.0064,0.0000,0.0000,0.0000,0.0062,0.0001,400,58.9433
0.0065,0.0000,0.0000,0.0000,0.0062,0.0002,400,58.9435
0.0068,0.0000,0.0000,0.0000,0.0062,0.0006,400,58.9434
