response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0063,0.0025,0.0000,0.0003,0.0014,0.0020,429,300.5082
0.0044,0.0005,0.0000,0.0018,0.0010,0.0010,429,300.5105
0.0073,0.0055,0.0000,0.0001,0.0013,0.0003,429,300.5106
0.0076,0.0037,0.0000,0.0013,0.0025,0.0001,429,300.5109
0.0085,0.0041,0.0000,0.0025,0.0012,0.0001,429,300.5101
0.0081,0.0040,0.0000,0.0001,0.0014,0.0027,429,300.5107
0.0081,0.0039,0.0000,0.0003,0.0014,0.0025,429,300.5107
0.0102,0.0058,0.0000,0.0002,0.0022,0.0020,429,300.5087
0.0089,0.0009,0.0000,0.0003,0.0013,0.0064,429,300.5100
0.0095,0.0015,0.0000,0.0034,0.0017,0.0029,429,300.5096
0.0091,0.0006,0.0000,0.0035,0.0019,0.0028,429,300.5100
0.0093,0.0009,0.0000,0.0003,0.0021,0.0059,429,300.5098
0.0108,0.0025,0.0000,0.0035,0.0018,0.0030,429,300.5085
0.0094,0.0042,0.0000,0.0029,0.0020,0.0000,429,300.5101
0.0115,0.0000,0.0000,0.0000,0.0016,0.0034,429,300.5082
0.0093,0.0061,0.0000,0.0002,0.0014,0.0016,429,300.5086
0.0088,0.0035,0.0000,0.0001,0.0028,0.0024,429,300.5112
0.0098,0.0016,0.0000,0.0035,0.0046,0.0001,429,300.5106
0.0121,0.0000,0.0000,0.0022,0.0045,0.0001,429,300.5095
0.0132,0.0057,0.0000,0.0024,0.0048,0.0001,429,300.5086
0.0111,0.0038,0.0000,0.0022,0.0047,0.0004,429,300.5112
0.0131,0.0011,0.0000,0.0056,0.0063,0.0001,429,300.5098
0.0128,0.0008,0.0000,0.0077,0.0042,0.0001,429,300.5103
0.0085,0.0000,0.0000,0.0000,0.0040,0.0002,429,300.5149
0.0109,0.0000,0.0000,0.0000,0.0042,0.0000,429,300.5125
0.0134,0.0000,0.0000,0.0028,0.0045,0.0001,429,300.5100
0.0124,0.0000,0.0000,0.0004,0.0043,0.0001,429,300.5114
0.0119,0.0042,0.0000,0.0003,0.0052,0.0000,429,300.5124
0.0132,0.0000,0.0000,0.0003,0.0051,0.0000,429,300.5114
0.0133,0.0000,0.0000,0.0000,0.0053,0.0000,429,300.5114
0.0127,0.0000,0.0000,0.0003,0.0055,0.0001,429,300.5120
0.0144,0.0057,0.0000,0.0033,0.0052,0.0001,429,300.5105
0.0127,0.0000,0.0000,0.0003,0.0058,0.0001,429,300.5124
0.0149,0.0000,0.0000,0.0038,0.0064,0.0001,429,300.5103
0.0130,0.0000,0.0000,0.0000,0.0067,0.0000,429,300.5124
0.0120,0.0020,0.0000,0.0029,0.0070,0.0001,429,300.5145
0.0143,0.0000,0.0000,0.0001,0.0080,0.0000,429,300.5124
0.0167,0.0047,0.0000,0.0039,0.0081,0.0000,429,300.5100
0.0157,0.0000,0.0000,0.0000,0.0071,0.0001,429,300.5113
0.0166,0.0069,0.0000,0.0024,0.0073,0.0000,429,300.5105
0.0161,0.0000,0.0000,0.0009,0.0075,0.0001,429,300.5112
0.0090,0.0000,0.0000,0.0000,0.0073,0.0000,429,300.5185
0.0163,0.0040,0.0000,0.0005,0.0105,0.0001,429,300.5114
0.0093,0.0000,0.0000,0.0000,0.0077,0.0001,429,300.5186
0.0167,0.0000,0.0000,0.0000,0.0079,0.0001,429,300.5113
0.0169,0.0000,0.0000,0.0000,0.0081,0.0001,429,300.5113
