response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0045,0.0009,0.0000,0.0003,0.0015,0.0019,400,-85.5891
0.0045,0.0008,0.0000,0.0002,0.0016,0.0018,400,-85.5889
0.0046,0.0010,0.0000,0.0016,0.0004,0.0016,400,-85.5890
0.0046,0.0008,0.0000,0.0016,0.0006,0.0015,400,-85.5889
0.0048,0.0010,0.0000,0.0015,0.0003,0.0019,400,-85.5890
0.0048,0.0011,0.0000,0.0015,0.0005,0.0016,400,-85.5889
0.0050,0.0009,0.0000,0.0004,0.0013,0.0024,400,-85.5891
0.0053,0.0011,0.0000,0.0003,0.0014,0.0024,400,-85.5893
0.0049,0.0007,0.0000,0.0010,0.0016,0.0014,400,-85.5888
0.0069,0.0042,0.0000,0.0015,0.0011,0.0002,400,-85.5904
0.0058,0.0000,0.0000,0.0000,0.0014,0.0002,400,-85.5876
0.0069,0.0000,0.0000,0.0000,0.0031,0.0001,400,-85.5875
0.0098,0.0000,0.0000,0.0000,0.0035,0.0000,400,-85.5904
0.0099,0.0000,0.0000,0.0001,0.0036,0.0001,400,-85.5904
0.0100,0.0027,0.0000,0.0035,0.0037,0.0000,400,-85.5906
0.0100,0.0023,0.0000,0.0035,0.0028,0.0014,400,-85.5904
0.0085,0.0000,0.0000,0.0000,0.0042,0.0000,400,-85.5885
0.0099,0.0016,0.0000,0.0034,0.0031,0.0017,400,-85.5896
0.0098,0.0060,0.0000,0.0006,0.0025,0.0003,400,-85.5910
0.0083,0.0000,0.0000,0.0000,0.0031,0.0016,400,-85.5878
0.0084,0.0000,0.0000,0.0000,0.0045,0.0001,400,-85.5876
0.0118,0.0000,0.0000,0.0000,0.0049,0.0001,400,-85.5908
0.0128,0.0056,0.0000,0.0003,0.0063,0.0001,400,-85.5909
0.0104,0.0037,0.0000,0.0003,0.0064,0.0000,400,-85.5884
0.0132,0.0000,0.0000,0.0000,0.0065,0.0001,400,-85.5908
0.0117,0.0000,0.0000,0.0000,0.0064,0.0002,400,-85.5891
0.0108,0.0000,0.0000,0.0000,0.0071,0.0001,400,-85.5876
0.0113,0.0012,0.0000,0.0021,0.0079,0.0001,400,-85.5879
0.0130,0.0013,0.0000,0.0055,0.0061,0.0000,400,-85.5894
0.0122,0.0040,0.0000,0.0005,0.0076,0.0001,400,-85.5884
0.0113,0.0000,0.0000,0.0000,0.0076,0.0001,400,-85.5875
