response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0065,0.0013,0.0000,0.0004,0.0043,0.0004,429,-84.8731
0.0083,0.0024,0.0000,0.0001,0.0057,0.0001,429,-84.8730
0.0098,0.0023,0.0000,0.0006,0.0039,0.0030,429,-84.8742
0.0105,0.0033,0.0000,0.0001,0.0042,0.0026,429,-84.8748
0.0101,0.0025,0.0000,0.0004,0.0040,0.0031,429,-84.8744
0.0103,0.0024,0.0000,0.0006,0.0041,0.0033,429,-84.8745
0.0107,0.0020,0.0000,0.0007,0.0040,0.0036,429,-84.8745
0.0092,0.0000,0.0000,0.0000,0.0009,0.0001,429,-84.8728
0.0105,0.0019,0.0000,0.0000,0.0041,0.0043,429,-84.8734
0.0116,0.0023,0.0000,0.0004,0.0041,0.0047,429,-84.8743
0.0129,0.0030,0.0000,0.0001,0.0045,0.0049,429,-84.8750
0.0121,0.0059,0.0000,0.0033,0.0029,0.0000,429,-84.8730
0.0125,0.0082,0.0000,0.0023,0.0019,0.0000,429,-84.8727
0.0141,0.0073,0.0000,0.0026,0.0040,0.0000,429,-84.8743
0.0125,0.0078,0.0000,0.0002,0.0023,0.0021,429,-84.8725
0.0129,0.0047,0.0000,0.0037,0.0031,0.0014,429,-84.8727
0.0132,0.0024,0.0000,0.0029,0.0023,0.0056,429,-84.8729
0.0139,0.0014,0.0000,0.0005,0.0039,0.0082,429,-84.8733
0.0138,0.0021,0.0000,0.0000,0.0051,0.0063,429,-84.8730
0.0135,0.0021,0.0000,0.0001,0.0052,0.0061,429,-84.8726
0.0138,0.0058,0.0000,0.0025,0.0026,0.0028,429,-84.8728
0.0152,0.0036,0.0000,0.0058,0.0027,0.0029,429,-84.8742
0.0137,0.0014,0.0000,0.0000,0.0052,0.0071,429,-84.8726
0.0137,0.0054,0.0000,0.0005,0.0061,0.0017,429,-84.8726
0.0141,0.0057,0.0000,0.0000,0.0059,0.0024,429,-84.8729
0.0138,0.0000,0.0000,0.0008,0.0021,0.0001,429,-84.8724
0.0014,0.0000,0.0000,0.0000,0.0012,0.0002,429,-84.8592
0.0042,0.0000,0.0000,0.0000,0.0028,0.0004,429,-84.8602
0.0169,0.0066,0.0000,0.0020,0.0080,0.0003,429,-84.8725
0.0175,0.0000,0.0000,0.0017,0.0047,0.0004,429,-84.8725
0.0011,0.0000,0.0000,0.0000,0.0009,0.0001,429,-84.8560
0.0100,0.0000,0.0000,0.0000,0.0057,0.0001,429,-84.8643
0.0122,0.0000,0.0000,0.0007,0.0057,0.0001,429,-84.8666
0.0188,0.0065,0.0000,0.0067,0.0055,0.0000,429,-84.8731
0.0184,0.0000,0.0000,0.0018,0.0058,0.0000,429,-84.8725
0.0188,0.0000,0.0000,0.0017,0.0060,0.0001,429,-84.8727
0.0186,0.0000,0.0000,0.0014,0.0061,0.0000,429,-84.8725
0.0106,0.0000,0.0000,0.0003,0.0058,0.0000,429,-84.8644
0.0189,0.0000,0.0000,0.0025,0.0055,0.0000,429,-84.8726
0.0189,0.0000,0.0000,0.0029,0.0056,0.0001,429,-84.8724
0.0194,0.0069,0.0000,0.0012,0.0112,0.0000,429,-84.8728
0.0193,0.0070,0.0000,0.0063,0.0060,0.0000,429,-84.8725
0.0204,0.0000,0.0000,0.0073,0.0065,0.0000,429,-84.8732
0.0197,0.0000,0.0000,0.0033,0.0060,0.0000,429,-84.8724
0.0200,0.0073,0.0000,0.0065,0.0062,0.0000,429,-84.8726
0.0197,0.0099,0.0000,0.0030,0.0066,0.0001,429,-84.8717
0.0206,0.0000,0.0000,0.0030,0.0070,0.0000,429,-84.8724
0.0218,0.0000,0.0000,0.0030,0.0080,0.0001,429,-84.8726
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,429,-84.8588
0.0220,0.0053,0.0000,0.0084,0.0082,0.0001,429,-84.8725
0.0104,0.0000,0.0000,0.0000,0.0086,0.0001,429,-84.8608
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,429,-84.8578
0.0100,0.0000,0.0000,0.0000,0.0088,0.0001,429,-84.8601
0.0091,0.0000,0.0000,0.0000,0.0090,0.0000,429,-84.8590
0.0228,0.0071,0.0000,0.0055,0.0101,0.0001,429,-84.8726
0.0229,0.0078,0.0000,0.0001,0.0149,0.0001,429,-84.8725
0.0232,0.0061,0.0000,0.0073,0.0097,0.0001,429,-84.8728
0.0147,0.0000,0.0000,0.0012,0.0095,0.0001,429,-84.8642
0.0243,0.0075,0.0000,0.0064,0.0103,0.0001,429,-84.8730
0.0239,0.0000,0.0000,0.0001,0.0152,0.0001,429,-84.8725
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,429,-84.8556
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,429,-84.8549
0.0076,0.0000,0.0000,0.0001,0.0074,0.0001,429,-84.8549
0.0116,0.0000,0.0000,0.0000,0.0115,0.0000,429,-84.8588
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,429,-84.8544
0.0179,0.0011,0.0000,0.0014,0.0152,0.0001,429,-84.8647
0.0076,0.0000,0.0000,0.0000,0.0072,0.0003,429,-84.8544
0.0075,0.0000,0.0000,0.0001,0.0074,0.0000,429,-84.8543
0.0259,0.0102,0.0000,0.0005,0.0152,0.0000,429,-84.8724
0.0077,0.0000,0.0000,0.0000,0.0075,0.0000,429,-84.8541
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,429,-84.8540
0.0136,0.0000,0.0000,0.0003,0.0129,0.0000,429,-84.8598
0.0184,0.0000,0.0000,0.0012,0.0129,0.0000,429,-84.8645
