response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0068,0.0038,0.0000,0.0013,0.0007,0.0010,200,-86.1850
0.0099,0.0039,0.0000,0.0028,0.0006,0.0026,200,-86.1867
0.0083,0.0023,0.0000,0.0005,0.0044,0.0010,200,-86.1850
0.0105,0.0039,0.0000,0.0009,0.0028,0.0028,200,-86.1872
0.0074,0.0007,0.0000,0.0000,0.0032,0.0000,200,-86.1834
0.0121,0.0000,0.0000,0.0000,0.0008,0.0001,200,-86.1872
0.0107,0.0032,0.0000,0.0008,0.0036,0.0028,200,-86.1854
0.0112,0.0057,0.0000,0.0034,0.0019,0.0002,200,-86.1855
0.0091,0.0045,0.0000,0.0001,0.0021,0.0004,200,-86.1834
0.0092,0.0048,0.0000,0.0000,0.0015,0.0005,200,-86.1834
0.0112,0.0040,0.0000,0.0002,0.0024,0.0045,200,-86.1854
0.0099,0.0007,0.0000,0.0030,0.0009,0.0053,200,-86.1836
0.0104,0.0019,0.0000,0.0005,0.0014,0.0001,200,-86.1832
0.0142,0.0075,0.0000,0.0050,0.0016,0.0001,200,-86.1869
0.0110,0.0018,0.0000,0.0051,0.0027,0.0013,200,-86.1838
0.0113,0.0015,0.0000,0.0000,0.0042,0.0052,200,-86.1839
0.0123,0.0023,0.0000,0.0000,0.0052,0.0009,200,-86.1849
0.0132,0.0000,0.0000,0.0000,0.0023,0.0015,200,-86.1858
0.0124,0.0082,0.0000,0.0002,0.0020,0.0019,200,-86.1850
0.0108,0.0015,0.0000,0.0053,0.0015,0.0001,200,-86.1834
0.0110,0.0000,0.0000,0.0003,0.0016,0.0002,200,-86.1836
0.0143,0.0000,0.0000,0.0001,0.0022,0.0017,200,-86.1867
0.0148,0.0057,0.0000,0.0070,0.0018,0.0001,200,-86.1869
0.0123,0.0007,0.0000,0.0016,0.0028,0.0068,200,-86.1839
0.0118,0.0052,0.0000,0.0000,0.0014,0.0030,200,-86.1834
0.0118,0.0045,0.0000,0.0000,0.0024,0.0025,200,-86.1834
0.0154,0.0069,0.0000,0.0061,0.0018,0.0005,200,-86.1869
0.0161,0.0060,0.0000,0.0046,0.0023,0.0027,200,-86.1875
0.0160,0.0076,0.0000,0.0040,0.0018,0.0019,200,-86.1873
0.0159,0.0000,0.0000,0.0019,0.0009,0.0019,200,-86.1871
0.0135,0.0007,0.0000,0.0031,0.0021,0.0025,200,-86.1848
0.0133,0.0005,0.0000,0.0050,0.0018,0.0018,200,-86.1834
0.0173,0.0000,0.0000,0.0001,0.0025,0.0040,200,-86.1872
0.0171,0.0000,0.0000,0.0000,0.0023,0.0044,200,-86.1868
0.0160,0.0024,0.0000,0.0066,0.0019,0.0050,200,-86.1856
0.0161,0.0044,0.0000,0.0002,0.0023,0.0093,200,-86.1857
0.0164,0.0059,0.0000,0.0055,0.0022,0.0028,200,-86.1856
0.0142,0.0047,0.0000,0.0000,0.0021,0.0053,200,-86.1834
0.0143,0.0000,0.0000,0.0005,0.0039,0.0005,200,-86.1834
0.0182,0.0102,0.0000,0.0005,0.0022,0.0050,200,-86.1872
0.0077,0.0015,0.0000,0.0017,0.0038,0.0006,200,-86.1767
0.0160,0.0018,0.0000,0.0028,0.0025,0.0052,200,-86.1849
0.0153,0.0070,0.0000,0.0001,0.0034,0.0048,200,-86.1836
0.0191,0.0058,0.0000,0.0084,0.0037,0.0012,200,-86.1870
0.0156,0.0022,0.0000,0.0029,0.0022,0.0018,200,-86.1834
0.0156,0.0000,0.0000,0.0000,0.0020,0.0018,200,-86.1834
0.0156,0.0020,0.0000,0.0001,0.0051,0.0018,200,-86.1834
0.0156,0.0017,0.0000,0.0011,0.0045,0.0013,200,-86.1834
0.0177,0.0060,0.0000,0.0038,0.0015,0.0059,200,-86.1855
0.0173,0.0053,0.0000,0.0070,0.0032,0.0019,200,-86.1850
0.0160,0.0013,0.0000,0.0003,0.0073,0.0000,200,-86.1834
0.0006,0.0000,0.0000,0.0000,0.0005,0.0001,200,-86.1678
0.0163,0.0000,0.0000,0.0000,0.0056,0.0000,200,-86.1834
0.0191,0.0085,0.0000,0.0046,0.0057,0.0001,200,-86.1860
0.0182,0.0059,0.0000,0.0063,0.0060,0.0000,200,-86.1849
0.0173,0.0000,0.0000,0.0014,0.0066,0.0001,200,-86.1834
0.0107,0.0008,0.0000,0.0034,0.0065,0.0000,200,-86.1768
0.0174,0.0020,0.0000,0.0021,0.0067,0.0000,200,-86.1834
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,-86.1727
0.0177,0.0029,0.0000,0.0078,0.0055,0.0001,200,-86.1834
0.0178,0.0000,0.0000,0.0000,0.0058,0.0000,200,-86.1834
0.0201,0.0080,0.0000,0.0053,0.0068,0.0001,200,-86.1855
0.0180,0.0000,0.0000,0.0013,0.0060,0.0001,200,-86.1834
0.0182,0.0000,0.0000,0.0000,0.0065,0.0001,200,-86.1833
0.0184,0.0008,0.0000,0.0041,0.0067,0.0000,200,-86.1834
0.0185,0.0000,0.0000,0.0000,0.0067,0.0000,200,-86.1834
0.0200,0.0000,0.0000,0.0000,0.0071,0.0000,200,-86.1848
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,-86.1716
0.0102,0.0000,0.0000,0.0000,0.0081,0.0001,200,-86.1747
0.0097,0.0000,0.0000,0.0000,0.0055,0.0001,200,-86.1741
0.0228,0.0000,0.0000,0.0063,0.0075,0.0000,200,-86.1871
0.0071,0.0000,0.0000,0.0008,0.0046,0.0001,200,-86.1713
0.0211,0.0000,0.0000,0.0056,0.0045,0.0001,200,-86.1851
0.0085,0.0000,0.0000,0.0022,0.0057,0.0000,200,-86.1724
0.0211,0.0022,0.0000,0.0077,0.0075,0.0000,200,-86.1848
0.0062,0.0000,0.0000,0.0001,0.0060,0.0001,200,-86.1698
0.0199,0.0000,0.0000,0.0019,0.0083,0.0001,200,-86.1834
0.0201,0.0000,0.0000,0.0031,0.0081,0.0001,200,-86.1835
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,-86.1716
0.0128,0.0020,0.0000,0.0042,0.0066,0.0000,200,-86.1760
0.0237,0.0036,0.0000,0.0116,0.0084,0.0001,200,-86.1868
0.0097,0.0000,0.0000,0.0000,0.0088,0.0000,200,-86.1726
0.0206,0.0011,0.0000,0.0018,0.0086,0.0000,200,-86.1834
0.0087,0.0000,0.0000,0.0000,0.0087,0.0001,200,-86.1714
0.0224,0.0016,0.0000,0.0028,0.0092,0.0001,200,-86.1849
0.0120,0.0016,0.0000,0.0000,0.0103,0.0001,200,-86.1744
0.0120,0.0000,0.0000,0.0001,0.0074,0.0001,200,-86.1743
0.0095,0.0000,0.0000,0.0000,0.0094,0.0001,200,-86.1715
0.0095,0.0000,0.0000,0.0000,0.0094,0.0000,200,-86.1714
0.0075,0.0000,0.0000,0.0006,0.0066,0.0001,200,-86.1693
0.0112,0.0000,0.0000,0.0005,0.0080,0.0001,200,-86.1727
0.0080,0.0000,0.0000,0.0002,0.0076,0.0000,200,-86.1696
0.0219,0.0000,0.0000,0.0048,0.0080,0.0001,200,-86.1834
0.0115,0.0000,0.0000,0.0007,0.0075,0.0000,200,-86.1728
0.0223,0.0000,0.0000,0.0001,0.0090,0.0001,200,-86.1834
