response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0054,0.0019,0.0000,0.0001,0.0013,0.0019,200,-469.8758
0.0042,0.0007,0.0000,0.0003,0.0013,0.0019,200,-469.8746
0.0057,0.0023,0.0000,0.0002,0.0019,0.0013,200,-469.8761
0.0042,0.0006,0.0000,0.0003,0.0011,0.0022,200,-469.8746
0.0043,0.0008,0.0000,0.0001,0.0014,0.0020,200,-469.8746
0.0039,0.0007,0.0000,0.0001,0.0019,0.0012,200,-469.8742
0.0045,0.0009,0.0000,0.0002,0.0014,0.0020,200,-469.8748
0.0041,0.0007,0.0000,0.0000,0.0026,0.0007,200,-469.8744
0.0047,0.0011,0.0000,0.0001,0.0014,0.0020,200,-469.8750
0.0057,0.0000,0.0000,0.0000,0.0017,0.0002,200,-469.8741
0.0071,0.0013,0.0000,0.0011,0.0047,0.0001,200,-469.8736
0.0073,0.0014,0.0000,0.0004,0.0041,0.0013,200,-469.8738
0.0076,0.0000,0.0000,0.0000,0.0022,0.0018,200,-469.8738
0.0073,0.0000,0.0000,0.0000,0.0017,0.0023,200,-469.8736
0.0087,0.0000,0.0000,0.0001,0.0026,0.0002,200,-469.8748
0.0078,0.0000,0.0000,0.0000,0.0032,0.0014,200,-469.8736
0.0115,0.0000,0.0000,0.0000,0.0017,0.0041,200,-469.8760
0.0095,0.0000,0.0000,0.0004,0.0044,0.0001,200,-469.8737
0.0105,0.0000,0.0000,0.0004,0.0041,0.0012,200,-469.8741
0.0103,0.0000,0.0000,0.0005,0.0043,0.0004,200,-469.8735
0.0107,0.0000,0.0000,0.0001,0.0032,0.0001,200,-469.8733
0.0107,0.0000,0.0000,0.0000,0.0030,0.0001,200,-469.8733
0.0107,0.0000,0.0000,0.0001,0.0029,0.0007,200,-469.8734
0.0121,0.0011,0.0000,0.0050,0.0045,0.0014,200,-469.8746
0.0131,0.0035,0.0000,0.0015,0.0019,0.0060,200,-469.8756
0.0109,0.0000,0.0000,0.0000,0.0032,0.0003,200,-469.8734
0.0133,0.0022,0.0000,0.0030,0.0017,0.0063,200,-469.8757
0.0109,0.0000,0.0000,0.0000,0.0021,0.0013,200,-469.8733
0.0133,0.0019,0.0000,0.0036,0.0017,0.0062,200,-469.8756
0.0134,0.0000,0.0000,0.0000,0.0018,0.0063,200,-469.8756
0.0113,0.0000,0.0000,0.0017,0.0035,0.0011,200,-469.8735
0.0115,0.0013,0.0000,0.0081,0.0020,0.0000,200,-469.8737
0.0120,0.0000,0.0000,0.0000,0.0047,0.0019,200,-469.8742
0.0119,0.0000,0.0000,0.0000,0.0019,0.0062,200,-469.8741
0.0113,0.0000,0.0000,0.0000,0.0027,0.0012,200,-469.8734
0.0113,0.0000,0.0000,0.0000,0.0027,0.0012,200,-469.8733
0.0123,0.0000,0.0000,0.0000,0.0039,0.0000,200,-469.8742
0.0121,0.0000,0.0000,0.0044,0.0026,0.0000,200,-469.8735
0.0122,0.0000,0.0000,0.0007,0.0039,0.0000,200,-469.8733
0.0125,0.0000,0.0000,0.0001,0.0054,0.0001,200,-469.8734
0.0131,0.0000,0.0000,0.0001,0.0040,0.0000,200,-469.8733
0.0144,0.0000,0.0000,0.0062,0.0040,0.0001,200,-469.8742
0.0138,0.0049,0.0000,0.0048,0.0040,0.0001,200,-469.8735
0.0139,0.0000,0.0000,0.0019,0.0069,0.0000,200,-469.8734
0.0143,0.0018,0.0000,0.0046,0.0046,0.0003,200,-469.8734
