2025-06-30 20:21:19,711 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDC3B0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.117/element
2025-06-30 20:21:23,781 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDC5F0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.117/element
2025-06-30 20:21:31,932 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDCB90>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.118/element
2025-06-30 20:21:36,004 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDCDD0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.118/element
2025-06-30 20:21:40,070 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDD010>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.118/element
2025-06-30 20:21:48,185 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDD5B0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.119/element
2025-06-30 20:21:52,210 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDD7F0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.119/element
2025-06-30 20:21:56,259 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F140>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.119/element
2025-06-30 20:22:04,340 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F290>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.120/element
2025-06-30 20:22:07,302 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?id=630141654382&mi_id=wE3a6LoyY8TbosVnkMPMJ9kqlgT5BhXPEwKZaec3JVLA1I-hRIMlqt8mAyCKuVUz8tRuNOyqF75R7-sYaKJlPADcp92ZKOVYH9NEb83DU2w&skuId=5502808333070&spm=a21bo.jianhua%2Fa.201876.d75.5af92a89curot3&utparam=%7B%22item_ctr%22%3A0.005051%2C%22x_object_type%22%3A%22p4p_item%22%2C%22item_price%22%3A%228.9%22%2C%22item_cvr%22%3A0.031835%2C%22pc_scene%22%3A%2220001%22%2C%22aplus_abtest%22%3A%22b9be0cf270afdbde6eaf0c7e2f552307%22%2C%22tpp_buckets%22%3A%2230986%23441643%23module%22%2C%22ab_info%22%3A%2230986%23441643%23-1%23%22%2C%22abid%22%3A%220%22%2C%22pc_pvid%22%3A%2261ca28c3-d4dd-455d-b809-43ed3370fec8%22%2C%22mix_group%22%3A%22%22%2C%22item_ecpm%22%3A0.000707%2C%22x_object_id%22%3A630141654382%7D&xxc=ad_ct
2025-06-30 20:22:08,403 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9F410>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.120/element
2025-06-30 20:22:12,464 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CD9EF60>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.120/element
2025-06-30 20:22:20,553 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDD010>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.121/element
2025-06-30 20:22:24,585 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDCDA0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.121/element
2025-06-30 20:22:28,647 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDC9E0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc/element/f.D947E9BF4CBCB06350D7A47B2FDBAC06.d.B2E0F1D40284CB625E7415B9E465DF9F.e.121/element
2025-06-30 20:22:38,758 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDD940>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc
2025-06-30 20:22:42,792 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDDB20>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc
2025-06-30 20:22:46,846 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002255CDDDCA0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/4aa51c6376cb1a8e63501319abd9acfc
2025-06-30 20:22:47,961 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?id=630141654382&mi_id=wE3a6LoyY8TbosVnkMPMJ9kqlgT5BhXPEwKZaec3JVLA1I-hRIMlqt8mAyCKuVUz8tRuNOyqF75R7-sYaKJlPADcp92ZKOVYH9NEb83DU2w&skuId=5502808333070&spm=a21bo.jianhua%2Fa.201876.d75.5af92a89curot3&utparam=%7B%22item_ctr%22%3A0.005051%2C%22x_object_type%22%3A%22p4p_item%22%2C%22item_price%22%3A%228.9%22%2C%22item_cvr%22%3A0.031835%2C%22pc_scene%22%3A%2220001%22%2C%22aplus_abtest%22%3A%22b9be0cf270afdbde6eaf0c7e2f552307%22%2C%22tpp_buckets%22%3A%2230986%23441643%23module%22%2C%22ab_info%22%3A%2230986%23441643%23-1%23%22%2C%22abid%22%3A%220%22%2C%22pc_pvid%22%3A%2261ca28c3-d4dd-455d-b809-43ed3370fec8%22%2C%22mix_group%22%3A%22%22%2C%22item_ecpm%22%3A0.000707%2C%22x_object_id%22%3A630141654382%7D&xxc=ad_ct
2025-06-30 20:24:45,421 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?id=630141654382&mi_id=wE3a6LoyY8TbosVnkMPMJ9kqlgT5BhXPEwKZaec3JVLA1I-hRIMlqt8mAyCKuVUz8tRuNOyqF75R7-sYaKJlPADcp92ZKOVYH9NEb83DU2w&skuId=5502808333070&spm=a21bo.jianhua%2Fa.201876.d75.5af92a89curot3&utparam=%7B%22item_ctr%22%3A0.005051%2C%22x_object_type%22%3A%22p4p_item%22%2C%22item_price%22%3A%228.9%22%2C%22item_cvr%22%3A0.031835%2C%22pc_scene%22%3A%2220001%22%2C%22aplus_abtest%22%3A%22b9be0cf270afdbde6eaf0c7e2f552307%22%2C%22tpp_buckets%22%3A%2230986%23441643%23module%22%2C%22ab_info%22%3A%2230986%23441643%23-1%23%22%2C%22abid%22%3A%220%22%2C%22pc_pvid%22%3A%2261ca28c3-d4dd-455d-b809-43ed3370fec8%22%2C%22mix_group%22%3A%22%22%2C%22item_ecpm%22%3A0.000707%2C%22x_object_id%22%3A630141654382%7D&xxc=ad_ct
2025-06-30 20:25:25,682 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?id=855163185721&mi_id=ur5hvnmWmRExd5s7l7D4M_kD_7-BhvWLeaeSWaMJB5T6YkOhTqi2-WREuuFXUFGd4vQEcIwKKms3PPFmRKaOGHR_UCpUqUlCK2b_ZKjNuzI&pvid=f1061143-d299-467f-b163-87947f431cc5&scm=1007.40986.441643.0&skuId=5659522261432&spm=a21bo.jianhua%2Fa.201876.d13.5af92a89f5H0dj&utparam=%7B%22item_ctr%22%3A0.05093929171562195%2C%22x_object_type%22%3A%22item%22%2C%22item_price%22%3A%2212.9%22%2C%22item_cvr%22%3A0.012241274118423462%2C%22pc_scene%22%3A%2220001%22%2C%22aplus_abtest%22%3A%224e7f49991b16831a79491f9b7aab101d%22%2C%22tpp_buckets%22%3A%2230986%23441643%23module%22%2C%22ab_info%22%3A%2230986%23441643%23-1%23%22%2C%22abid%22%3A%220%22%2C%22pc_pvid%22%3A%22f1061143-d299-467f-b163-87947f431cc5%22%2C%22mix_group%22%3A%22%22%2C%22item_ecpm%22%3A0%2C%22x_object_id%22%3A855163185721%7D&xxc=home_recommend
2025-06-30 20:37:03,406 - INFO - Æô¶¯ÅÀ³æ£¬²ÎÊı: manual_input=False, preset_url=https://detail.tmall.com/item.htm?detail_redpacket_pop=true&id=795459806673&mi_id=Bw5lTAMXKtitL_O_RRsW981YfufB3vIAAfqja4fAlsYkci9L9-pP-v6HFvJgSwP6bKkmSFH1TlZBWSm02zmtJmMKpa2H_0v1I4JmhBItTZo&ns=1&priceTId=undefined&query=%E9%85%B7%E6%80%81%E7%A7%91%E5%85%85%E7%94%B5%E5%AE%9D&skuId=5849109852150&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2295c472679a956573c1a8e3e7983159b7%22%7D&xxc=ad_ztc
2025-06-30 20:38:48,201 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022F306883B0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/f47d133bfbf5f426575cc6fdcb5b4ad3/element/f.4D0996AFA5FDBC6E6B0A2155C7F41B3A.d.1EA8D115DBB00EBF379904247936E5E7.e.96/element
2025-06-30 20:38:52,296 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022F2FE51E50>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/f47d133bfbf5f426575cc6fdcb5b4ad3/element/f.4D0996AFA5FDBC6E6B0A2155C7F41B3A.d.1EA8D115DBB00EBF379904247936E5E7.e.96/element
2025-06-30 20:38:56,381 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022F30688290>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/f47d133bfbf5f426575cc6fdcb5b4ad3/element/f.4D0996AFA5FDBC6E6B0A2155C7F41B3A.d.1EA8D115DBB00EBF379904247936E5E7.e.96/element
2025-06-30 20:39:04,573 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022F30688AD0>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/f47d133bfbf5f426575cc6fdcb5b4ad3/element/f.4D0996AFA5FDBC6E6B0A2155C7F41B3A.d.1EA8D115DBB00EBF379904247936E5E7.e.97/element
2025-06-30 20:39:08,649 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022F30688D10>: Failed to establish a new connection: [WinError 10061] ÓÉÓÚÄ¿±ê¼ÆËã»ú»ı¼«¾Ü¾ø£¬ÎŞ·¨Á¬½Ó¡£')': /session/f47d133bfbf5f426575cc6fdcb5b4ad3/element/f.4D0996AFA5FDBC6E6B0A2155C7F41B3A.d.1EA8D115DBB00EBF379904247936E5E7.e.97/element
